date,nav,cash,n_positions,csi300_nav
2016-03-03,998510.5121780871,5518.630902910154,10,
2016-03-04,1005671.9752480029,5518.630902910154,10,
2016-03-07,1030346.6889072894,5518.630902910154,10,
2016-03-08,1030950.5904842853,5518.630902910154,10,
2016-03-09,1013610.99125638,5518.630902910154,10,
2016-03-10,1006844.7106235265,399387.70106961724,6,
2016-03-11,1002947.4258543372,699549.2059589743,3,
2016-03-14,1009851.9046013474,95580.2991812348,9,
2016-03-15,1009320.5118233323,786.1522728561977,10,
2016-03-16,1001139.5342238545,2611.1675150990195,10,
2016-03-17,1052640.5681260228,2611.1675150990195,10,
2016-03-18,1100407.380069077,2611.1675150990195,10,
2016-03-21,1130997.874868691,2611.1675150990195,10,
2016-03-22,1138648.1948741078,2611.1675150990195,10,
2016-03-23,1158960.5899433256,114315.28745690582,9,
2016-03-24,1145317.2440151335,114315.28745690582,9,
2016-03-25,1149183.534237337,433290.60969014163,6,
2016-03-28,1144345.3027003526,783696.6325038194,3,
2016-03-29,1135273.2204484225,894345.533947873,2,
2016-03-30,1148209.6345615862,664884.2511368274,4,
2016-03-31,1147254.6875591516,1260.2197284935537,10,
2016-04-01,1150064.8336031674,103.33825137601525,10,
2016-04-05,1170871.3103392362,103.33825137601525,10,
2016-04-06,1181610.0535013913,103.33825137601525,10,
2016-04-07,1161964.889657998,144.54425623401767,10,
2016-04-08,1144562.7225198268,539486.1091413021,5,
2016-04-11,1152958.6543852328,765628.0457788943,3,
2016-04-12,1149584.4708680152,917763.57800951,2,
2016-04-13,1150400.6271240055,805159.0592619716,3,
2016-04-14,1149895.005107051,348528.3362509071,7,
2016-04-15,1151848.4602272091,3726.7102896748984,10,
2016-04-18,1138433.8346365034,225887.2093084394,8,
2016-04-19,1139034.7734895705,559191.3311925887,5,
2016-04-20,1132992.8208437918,672476.0867205618,4,
2016-04-21,1132749.1710230825,778746.2759539603,3,
2016-04-22,1139343.3396936893,894385.4254366397,2,
2016-04-25,1144476.3026750325,780289.806846404,3,
2016-04-26,1143090.1176051376,210798.9411429643,8,
2016-04-27,1137052.3815456985,214.67400232546788,10,
2016-04-28,1134881.2899543047,250.95047485824034,10,
2016-04-29,1139279.8000377894,11506.096391129453,10,
2016-05-03,1184265.4200357676,11506.096391129453,10,
2016-05-04,1184537.7731603861,11506.096391129453,10,
2016-05-05,1195188.8570112467,11506.096391129453,10,
2016-05-06,1153414.9532057405,449194.3163611054,6,
2016-05-09,1148904.5540237068,1012535.6777572274,1,
2016-05-10,1147389.3339538216,1012535.6777572274,1,
2016-05-11,1149119.9564981104,1034410.0565957667,1,
2016-05-12,1151479.0095376612,1034410.0565957667,1,
2016-05-13,1148947.891111386,919527.7333927276,2,
2016-05-16,1154566.7379273176,229103.28661334526,8,
2016-05-17,1156257.8733715774,330.7773146391846,10,
2016-05-18,1135673.0372867347,65.62916848668829,10,
2016-05-19,1131463.9577288271,219904.51530405303,8,
2016-05-20,1132124.98606385,135.38623989839107,10,
2016-05-23,1137969.711070192,2517.3140097977594,10,
2016-05-24,1130146.846088803,226070.63771191856,8,
2016-05-25,1128913.2381818653,336629.4331691625,7,
2016-05-26,1128042.374945903,449984.19232490077,6,
2016-05-27,1126830.6944441558,130.74560878290504,10,
2016-05-30,1125880.8250431777,226635.82594439999,8,
2016-05-31,1151833.2722505154,380.9899290622852,10,
2016-06-01,1149726.737888676,380.9899290622852,10,
2016-06-02,1154473.1830557408,380.9899290622852,10,
2016-06-03,1168259.268685204,380.9899290622852,10,
2016-06-06,1171892.2033032002,380.9899290622852,10,
2016-06-07,1171423.248062283,344341.4734937253,7,
2016-06-08,1177138.8583400608,801392.6939704778,3,
2016-06-13,1166611.3139243964,920623.6252876165,2,
2016-06-14,1165619.5834251288,920623.6252876165,2,
2016-06-15,1181136.5464301948,920623.6252876165,2,
2016-06-16,1207133.6080211047,800938.5190623644,3,
2016-06-17,1204679.5479318742,319527.3147127273,7,
2016-06-20,1216283.8107631805,72.70417672418989,10,
2016-06-21,1222510.7892082336,72.70417672418989,10,
2016-06-22,1256393.431141055,103.90167442584061,10,
2016-06-23,1258325.7687112454,103.90167442584061,10,
2016-06-24,1247265.9766097309,406036.96876957436,7,
