date,nav,cash,n_positions,topix_nav
2016-02-28,10000000.0,10000000.0,0,10000000.0
2016-02-29,10000000.0,10000000.0,0,10007495.389334524
2016-03-01,9999009.87783203,9008887.70986328,1,10389801.861452498
2016-03-02,10001857.732031249,8028272.038671874,2,10524737.990365095
2016-03-03,10029918.101904295,8028272.038671874,2,10569711.451130545
2016-03-06,10022234.453222655,8028272.038671874,2,10487253.17038435
2016-03-07,9993783.403417967,8028272.038671874,2,10359818.054597793
2016-03-08,9983011.572259521,8995735.107415771,1,10254870.231573112
2016-03-09,10009327.490228271,8995735.107415771,1,10412290.278972678
2016-03-10,10008903.173822021,8995735.107415771,1,10449772.849436816
2016-03-13,10030550.048822021,8995735.107415771,1,10622187.04978034
2016-03-14,10030974.560540771,8995735.107415771,1,10539726.51951754
2016-03-15,10031823.388665771,8995735.107415771,1,10487253.17038435
2016-03-16,10043283.740228271,8995735.107415771,1,10442278.584860597
2016-03-17,10030974.560540771,8995735.107415771,1,10359818.054597793
2016-03-21,10042010.498040771,8995735.107415771,1,10524737.990365095
2016-03-22,10026123.316693114,10026123.316693114,0,10494750.80923548
2016-03-23,10026123.316693114,10026123.316693114,0,10412290.278972678
2016-03-24,10025144.98418579,9046812.476861572,1,10509741.587904528
2016-03-27,10044493.946588134,9046812.476861572,1,10622187.04978034
2016-03-28,10051847.846734619,9046812.476861572,1,10697149.941192012
2016-03-29,10042042.512261963,9046812.476861572,1,10547225.283126973
2016-03-30,10024883.613336181,9046812.476861572,1,10472260.142198693
2016-03-31,9995743.613909911,9995743.613909911,0,10089952.545322416
2016-04-03,9995743.613909911,9995743.613909911,0,10119937.476935426
2016-04-04,9995743.613909911,9995743.613909911,0,9850073.092418354
2016-04-05,9995743.613909911,9995743.613909911,0,9850073.092418354
2016-04-06,9995743.613909911,9995743.613909911,0,9887554.538124189
2016-04-07,9995743.613909911,9995743.613909911,0,9992500.111632261
2016-04-10,9995743.613909911,9995743.613909911,0,9962515.180019254
2016-04-11,9989135.971392822,3381493.454302978,7,10104946.698266378
2016-04-12,10147416.56786499,466972.5065856925,10,10344827.275928743
2016-04-13,10508067.48949585,466972.5065856925,10,10637180.077965995
2016-04-14,10405572.616448974,466972.5065856925,10,10547225.283126973
2016-04-17,10120393.539300537,466972.5065856925,10,10254870.231573112
2016-04-18,10451100.179925537,466972.5065856925,10,10592200.993409028
2016-04-19,10503323.562493896,466972.5065856925,10,10607194.021594683
2016-04-20,10704372.616448974,466972.5065856925,10,10794602.374882167
2016-04-21,10849601.705804443,466972.5065856925,10,10922036.365910422
2016-04-24,10810868.917425536,1494813.5585388173,9,10884557.169721192
2016-04-25,10730037.347760009,489302.37461547763,10,10802095.514700085
2016-04-26,10783828.71843872,1598186.854425048,9,10764615.193752553
2016-04-27,10598575.886047363,7669697.516906738,3,10412290.278972678
2016-05-01,10512037.779833984,9564025.182177734,1,10097449.059415244
2016-05-05,10500895.430761717,10500895.430761717,0,10082457.155987892
2016-05-08,10500895.430761717,10500895.430761717,0,10149922.408548433
2016-05-09,10498023.913964842,7626507.117089842,3,10367315.693448924
2016-05-10,10596711.529458618,1004443.1975494382,10,10352320.41574666
2016-05-11,10483981.148062134,964252.8994659422,10,10389801.861452498
2016-05-12,10558391.186819458,964252.8994659422,10,10247374.842238588
2016-05-15,10572385.477078248,2760458.948147583,8,10254870.231573112
2016-05-16,10693735.63833313,1695701.116848755,9,10389801.861452498
2016-05-17,10693726.462722778,688415.3451690675,10,10404794.889638154
2016-05-18,10696336.476553345,434599.8539337161,10,10374811.082783448
2016-05-19,10855342.863882447,434599.8539337161,10,10442278.584860597
2016-05-22,10941916.611135865,434599.8539337161,10,10404794.889638154
2016-05-23,10897936.189932251,3446441.9852203373,7,10314840.09479913
2016-05-24,11006924.821121216,1270442.0727081303,9,10449772.849436816
2016-05-25,11053794.23435364,163855.00095520075,10,10442278.584860597
2016-05-26,11077589.78183899,163855.00095520075,10,10502247.323328309
2016-05-29,11298733.830911256,163855.00095520075,10,10622187.04978034
2016-05-30,11454918.398171999,163855.00095520075,10,10712142.969377667
2016-05-31,11454237.102395631,163855.00095520075,10,10592200.993409028
2016-06-01,11263971.933221437,3483175.287103272,7,10352320.41574666
2016-06-02,11229343.576556398,7885908.990985109,3,10397300.625061931
2016-06-05,11188507.720843507,8995208.737078859,2,10367315.693448924
2016-06-06,11163598.53991089,8957191.221795656,2,10427285.556674939
2016-06-07,11191052.760491945,8957191.221795656,2,10502247.323328309
2016-06-08,11194456.376824953,8957191.221795656,2,10382305.347359668
2016-06-09,11186731.128790285,8986887.93115845,2,10337329.637077613
2016-06-12,11108996.393682864,8986887.93115845,2,9977511.58247982
2016-06-13,11061217.649911502,11061217.649911502,0,9895051.052217016
2016-06-14,11061217.649911502,11061217.649911502,0,9925034.85907172
2016-06-15,11061217.649911502,11061217.649911502,0,9662668.11340578
2016-06-16,11061217.649911502,11061217.649911502,0,9730133.365966322
2016-06-19,11058000.847055057,7841197.990609745,3,9940029.012015682
2016-06-20,11089312.205136113,701850.858700566,10,10067466.377318844
2016-06-21,10982323.026669316,701850.858700566,10,9992500.111632261
2016-06-22,11162822.72759705,701850.858700566,10,10089952.545322416
2016-06-23,10385094.458694462,7485493.634719853,3,9340327.005480608
2016-06-26,10468312.119827276,9380968.089065557,1,9527736.483526397
2016-06-27,10488731.93794251,9380968.089065557,1,9535230.748102617
2016-06-28,10514256.529006964,9380968.089065557,1,9722636.851873493
2016-06-29,10501090.661135871,6421897.521487433,4,9707644.94844614
2016-06-30,10508547.538604744,413373.05435181456,10,9760118.29757933
2016-07-03,10661729.893341072,413373.05435181456,10,9820090.410321953
2016-07-04,10598367.873992927,413373.05435181456,10,9767613.686913854
2016-07-05,10309141.87018586,3217246.856758126,7,9385304.965279274
2016-07-06,10304701.209660348,6326142.420597848,4,9340327.005480608
2016-07-07,10266371.567326363,8235818.967228707,2,9197900.548645854
2016-07-10,10264341.014726266,10264341.014726266,0,9775211.429253995
2016-07-11,10264341.014726266,10264341.014726266,0,10028217.93631821
2016-07-12,10264341.014726266,10264341.014726266,0,10120218.666511301
2016-07-13,10264341.014726266,10264341.014726266,0,10204555.293624341
2016-07-14,10264341.014726266,10264341.014726266,0,10242888.181365928
2016-07-18,10264341.014726266,10264341.014726266,0,10357892.468382202
2016-07-19,10264341.014726266,10264341.014726266,0,10365558.820978858
2016-07-20,10264341.014726266,10264341.014726266,0,10411560.310833706
2016-07-21,10264341.014726266,10264341.014726266,0,10319557.331124008
2016-07-24,10264341.014726266,10264341.014726266,0,10311890.978527352
2016-07-25,10264341.014726266,10264341.014726266,0,10181553.986317767
2016-07-26,10264341.014726266,10264341.014726266,0,10319557.331124008
2016-07-27,10264341.014726266,10264341.014726266,0,10189220.338914422
2016-07-28,10264341.014726266,10264341.014726266,0,10288888.54646247
2016-07-31,10264341.014726266,10264341.014726266,0,10288888.54646247
2016-08-01,10264341.014726266,10264341.014726266,0,10104884.836559685
2016-08-02,10264341.014726266,10264341.014726266,0,9890213.466753663
2016-08-03,10264341.014726266,10264341.014726266,0,9997550.276414977
2016-08-04,10264341.014726266,10264341.014726266,0,9966883.741270047
2016-08-07,10264341.014726266,10264341.014726266,0,10158553.803769492
2016-08-08,10261287.980126962,7208253.380822763,3,10242888.181365928
2016-08-09,10260394.250622567,6213595.825329599,4,10227556.600930918
2016-08-11,10319656.672802743,6213595.825329599,4,10304223.501172392
2016-08-14,10334408.373211678,5183410.755108652,5,10258223.136075845
2016-08-15,10259830.710552987,5183410.755108652,5,10097218.483963026
2016-08-16,10264135.242413338,5183410.755108652,5,10212222.7709793
2016-08-17,10213252.552203378,8207251.343707284,2,10058884.471463138
2016-08-18,10265522.828082284,8207251.343707284,2,10097218.483963026
2016-08-21,10317333.030108651,8207251.343707284,2,10143221.09857618
2016-08-22,10235560.669879159,8207251.343707284,2,10089553.256124675
2016-08-23,10210043.128491221,1257731.9865234473,9,10158553.803769492
2016-08-24,10227156.690136729,362889.3073242287,10,10143221.09857618
2016-08-25,10188779.166333018,362889.3073242287,10,10020550.458963249
2016-08-28,10300796.903219614,375959.25673523964,10,10235222.953527573
2016-08-29,10248539.742349254,279576.8303619488,10,10235222.953527573
2016-08-30,10334588.120309459,228119.87384949764,10,10350223.866268937
2016-08-31,10425878.611032115,228119.87384949764,10,10411560.310833706
2016-09-01,10440140.168038951,228119.87384949764,10,10442226.845978634
2016-09-04,10500580.393093882,272399.00576478103,10,10480560.858478522
2016-09-05,10600769.379299937,272399.00576478103,10,10541893.928768381
2016-09-06,10624525.104397593,272399.00576478103,10,10511228.518381756
2016-09-07,10649914.388345348,1283726.2535797225,9,10488228.335833482
2016-09-08,10718148.265176402,2342024.3180328477,8,10472892.25636526
2016-09-11,10636552.25077821,5385562.809860241,5,10288888.54646247
2016-09-12,10674839.286618054,5403864.033322155,5,10319557.331124008
2016-09-13,10598931.557028208,8510720.595114145,2,10227556.600930918
2016-09-14,10604369.972555552,8510720.595114145,2,10143221.09857618
2016-09-15,10632270.250021372,6529342.6438202,4,10235222.953527573
2016-09-19,10648877.332206735,1411414.552970896,9,10258223.136075845
2016-09-20,10848951.495664988,335476.6589340309,10,10541893.928768381
2016-09-22,10969278.161924753,335476.6589340309,10,10518895.995736716
2016-09-25,10878092.235105906,335476.6589340309,10,10403891.708720444
2016-09-26,11075987.506407175,335476.6589340309,10,10511228.518381756
2016-09-27,10987827.84440156,1371905.763407908,9,10449892.073816989
2016-09-28,11106971.664738474,234340.94727021293,10,10572562.713429919
2016-09-29,11019807.618206797,3274488.5752380476,7,10373224.048817208
2016-10-02,11047967.573040782,3274488.5752380476,7,10442226.845978634
2016-10-03,11091647.102337658,1178425.3677185168,9,10518895.995736716
2016-10-04,11198977.488134777,218958.51840821467,10,10587896.543381535
2016-10-05,11251672.965429699,218958.51840821467,10,10633898.033236383
2016-10-06,11224974.900115978,203725.95602418156,10,10603230.37333315
2016-10-10,11327737.364959728,176613.97018433805,10,10649229.613671392
2016-10-11,11347120.49484254,176613.97018433805,10,10549561.406123342
2016-10-12,11321325.142156994,94853.69440308819,10,10534228.70093003
2016-10-13,11336103.114898695,2271894.62490846,8,10572562.713429919
2016-10-16,11385590.601547254,4531.336410535267,10,10626229.43112312
2016-10-17,11470236.88145448,4531.336410535267,10,10649229.613671392
2016-10-18,11574307.605941785,4531.336410535267,10,10672230.920977967
2016-10-19,11829142.765243543,4531.336410535267,10,10764235.02544597
2016-10-20,11859323.172958387,4531.336410535267,10,10718233.53559112
2016-10-23,11909813.254745496,4531.336410535267,10,10748898.945977747
2016-10-24,11938131.913513197,11503.346008313587,10,10810233.141025906
2016-10-25,12046581.002624525,99692.43756104796,10,10848567.153525796
2016-10-26,12031760.479553236,99692.43756104796,10,10863902.108235717
2016-10-27,11954927.700579848,1292782.4887878553,9,10925237.428042183
2016-10-30,11991115.712451186,3710324.8982422007,7,10955905.087945415
2016-10-31,12248699.997741712,2546655.07891847,8,10955905.087945415
2016-11-01,12105897.858776867,3626985.0932739386,7,10733566.240784433
2016-11-03,12037777.452441419,7150142.2107422,4,10580230.190784879
2016-11-06,12028201.377929699,6036162.840332043,5,10702898.5808812
2016-11-07,11953227.464941418,7232730.602148449,4,10710563.808719553
2016-11-08,11780436.941766368,10729122.781610118,1,10235222.953527573
2016-11-09,11816713.019516002,7330394.089462291,4,10817901.743139172
2016-11-10,11712985.901812755,5079888.60261842,6,10833234.448332485
