signal_date,entry_date,exit_date,ticker,entry_price,exit_price,return,stage1_prob,stage2_prob,exit_reason
2016-03-01,2016-03-01,2016-03-08,5929.T,583.0072294921874,569.6655883789062,-0.023861293647725712,0.7577986428691319,0.4666666666666667,trend_exit
2016-03-02,2016-03-02,2016-03-22,7832.T,612.8847944946289,644.6372680664062,0.05075641716541823,0.7695972306053369,0.4666666666666667,trend_exit
2016-03-24,2016-03-24,2016-03-31,4403.T,445.14129083251953,431.76409912109375,-0.031021511809701696,0.7342285254471403,0.4666666666666667,trend_exit
2016-04-11,2016-04-11,2016-04-24,9934.T,608.1239348754882,643.043701171875,0.056364699084295866,0.8240826504042462,0.5333333333333333,trend_exit
2016-04-11,2016-04-11,2016-04-26,4088.T,1204.469501586914,1348.3682861328125,0.1183512044696462,0.79542335969893,0.5333333333333333,trend_exit
2016-04-12,2016-04-12,2016-04-26,8111.T,314.98309494018554,320.2084045410156,0.015572585561204555,0.8609067907333052,0.6302966101694917,trend_exit
2016-04-11,2016-04-11,2016-04-27,9065.T,1887.2427792968747,2030.6866455078125,0.07493110113692736,0.94370162808872,0.6302966101694917,trend_exit
2016-04-11,2016-04-11,2016-04-27,2433.T,995.6803546142576,1027.3516845703125,0.03077692366779372,0.8913901757248945,0.6302966101694917,trend_exit
2016-04-11,2016-04-11,2016-04-27,3288.T,834.4490939941405,933.5872192382812,0.11768787183270901,0.7545584151702159,0.6302966101694917,trend_exit
2016-04-11,2016-04-11,2016-04-27,7313.T,884.0813182373046,936.2923583984376,0.05799777321951227,0.8652622472225547,0.6025437201907791,trend_exit
2016-04-12,2016-04-12,2016-04-27,6098.T,1040.2956040039062,1072.2239990234375,0.029660964539067747,0.9659310848997198,0.6302966101694917,trend_exit
2016-04-12,2016-04-12,2016-04-27,5802.T,970.3090003051757,1013.0241088867188,0.042978148671753535,0.8926502141342587,0.6302966101694917,trend_exit
2016-04-11,2016-04-11,2016-05-01,4206.T,1695.9821296386717,1821.34033203125,0.07284089843969443,0.8066314730214097,0.5114771806643261,trend_exit
2016-04-25,2016-04-25,2016-05-01,2201.T,1117.2346488037108,1095.0596923828125,-0.020828226315928955,0.8020264474601968,0.6302966101694917,trend_exit
