date,nav,cash,n_positions,kospi_nav,kospi200_nav
2017-02-23,99985022.46630055,90000000.0,1,100000000.0,100000000.0
2017-02-24,100013429.35809657,90000000.0,1,99358995.64914145,99080215.47143538
2017-02-27,99970047.17586625,80001497.75336994,2,98950954.38952757,98563523.76415408
2017-02-28,100068871.4433052,59981726.52874546,4,99241327.93706673,98962952.10524388
2017-03-02,100167228.9813781,59981726.52874546,4,99763715.6426887,99912052.47535637
2017-03-03,99258867.58807027,50054352.89420685,5,98629740.51422687,98856682.17963281
2017-03-06,99582164.63862437,50054352.89420685,5,98753576.29185389,99091208.91201586
2017-03-07,99644245.15204641,59865924.54467471,4,99355674.38307483,99626223.02026458
2017-03-08,100006571.06204985,69461035.3679767,3,99420201.83808352,99780131.18839094
2017-03-09,100051841.99897566,59454352.413767464,4,99213808.87537186,99534611.01542747
2017-03-10,100439508.66604936,49408896.98569052,5,99512248.35478713,99780131.18839094
2017-03-13,100872854.04479781,19133437.220684268,8,100472568.71462257,100923449.00875811
2017-03-14,100723568.7652341,0.0,10,101240730.10917476,101832240.09674227
2017-03-15,100549725.62568955,0.0,10,101203721.71586093,101832240.09674227
2017-03-16,101211336.15424918,0.0,10,102014110.63611734,102645754.69969586
2017-03-17,103359393.87346065,0.0,10,102702087.17848957,103287038.73355564
2017-03-20,102973323.34756601,0.0,10,102342915.9767132,102880281.43207885
2017-03-21,103462651.23742925,0.0,10,103356851.06019557,104012605.81186558
2017-03-22,102939983.12930399,10636605.546871725,9,102878588.74660163,103569203.70845395
2017-03-23,103511823.21886635,20654681.18698611,8,103088302.97537991,103635164.3519367
2017-03-24,104536605.27325264,20654681.18698611,8,102909429.07436313,103451940.34226246
2017-03-27,104593489.51622581,8647907.3717091,9,102278862.9882854,102737366.70453297
2017-03-28,105516529.20067342,0.0,10,102641829.92270938,103063505.44175309
2017-03-29,105801985.93689638,0.0,10,102815959.15791671,103287038.73355564
2017-03-30,105171340.78767341,0.0,10,102704933.97797525,103213749.12968597
2017-03-31,106425157.16358113,0.0,10,102495694.2157779,102839972.14995053
2017-04-03,107760554.98887852,0.0,10,102841105.88670687,103191762.24852507
2017-04-04,107595581.89007646,9981999.499820955,9,102536972.80832024,102942577.59536812
2017-04-05,107438799.36016893,9981999.499820955,9,102525111.1437966,102876616.95188539
2017-04-06,107533393.93532369,21867442.44413084,8,102140793.21323001,102411227.96731286
2017-04-07,107717269.10522932,21867442.44413084,8,102092397.62197348,102242661.87841256
2017-04-10,105558657.87166375,65119302.37982558,4,101218904.64645122,101583055.44358532
2017-04-11,105185938.3021034,85578525.08937472,2,100769584.79429501,100952764.850306
2017-04-12,105249535.89297327,75001156.46047753,3,101009664.88425387,101216607.42423686
2017-04-13,105294023.07353014,64470176.87210779,4,101944364.04871823,102282971.16054088
2017-04-14,104495625.34363644,64470176.87210779,4,101292921.43307887,101619700.24552019
2017-04-17,104919894.4918473,22477060.943009958,8,101809141.07314852,101909194.18080546
2017-04-18,106940524.76863983,11781406.520900527,9,101937247.05000402,101956832.42332077
2017-04-19,107229841.90882201,1056816.050866548,10,101459933.66957198,101319212.86965445
2017-04-20,107025318.94746007,518317.87504645996,10,101969985.24408934,101784601.85422698
2017-04-21,106887213.03372854,518317.87504645996,10,102723912.6412131,102623767.81853496
2017-04-24,107366648.95586124,518317.87504645996,10,103136698.56663646,103323683.53549048
2017-04-25,108140983.89192998,518317.87504645996,10,104233190.8352035,104587929.20224267
2017-04-26,109325205.04837412,63649.97947060317,10,104754629.6076636,105089962.98875004
2017-04-27,108695249.5269877,10632444.361448407,9,104831493.19377689,105295173.87958518
2017-04-28,107428161.219583,31563328.342972554,7,104640757.62823646,105247535.63706988
2017-05-02,107623363.57275268,31493425.35915626,7,105315923.57292314,106141668.8042801
2017-05-04,108781137.06867999,20994072.721962065,8,106339347.98802444,107175052.21884277
2017-05-08,111379646.66253318,0.0,10,108783799.81306016,109883103.08182785
2017-05-10,110971325.24370661,0.0,10,107709607.47379756,108538238.850819
2017-05-11,113653951.64128175,0.0,10,108955082.24878179,109842793.79969953
2017-05-12,112231926.43103334,0.0,10,108464009.33750232,109293121.77067682
2017-05-15,112368750.78439169,0.0,10,108683687.36448048,109520319.54267287
2017-05-16,112836139.04574968,0.0,10,108905737.72436339,109813477.95815164
2017-05-17,113572591.77374747,20033104.57355194,8,108798982.74365045,109692550.11176664
2017-05-18,114874471.83621305,20033104.57355194,8,108501966.66397803,109373740.3349335
2017-05-19,115091404.03966205,20936714.75343737,8,108580728.11641513,109230825.60738759
2017-05-22,115637026.73387007,20184411.106288787,8,109318523.64978674,110165268.05672616
2017-05-23,115862269.61696441,0.0,10,109684337.38369636,110432775.11085054
2017-05-24,117154153.36739568,0.0,10,109950038.66902635,110561031.91762248
2017-05-25,118106716.63764818,12067393.047366576,9,111164198.64966808,111847264.4655356
2017-05-26,118290319.57871982,236589.12685048394,10,111751113.81029879,112484884.01920187
2017-05-29,120028150.28363527,236589.12685048394,10,111640563.09693827,112323646.89068854
2017-05-30,120212705.5708159,669713.1623605285,10,111199783.64323908,111616402.21334603
2017-05-31,119624047.04114357,2644756.5866601486,10,111375336.27818926,111645718.05489391
2017-06-01,118654594.24915065,2644756.5866601486,10,111243909.03526711,111411191.3225109
2017-06-02,119798213.19910029,13933329.848434662,9,112530187.9362127,112803693.79603504
2017-06-05,119049684.93951398,35562305.10748882,7,112383103.29611933,112620469.7863608
2017-06-07,120882577.64620237,68180858.02676482,4,111980755.6354768,112015830.55443586
2017-06-08,121942204.36431798,7164061.788511297,9,112143497.67274143,112224705.92546448
2017-06-09,123879368.87886177,7164061.788511297,9,113003231.11741623,113371688.22602515
2017-06-12,120830170.05911869,7164061.788511297,9,111873051.72160198,112221041.44527102
2017-06-13,122460438.81962909,8047565.35167869,9,112671578.97733471,112873318.91971125
2017-06-14,123737008.0642927,0.0,10,112573838.86165977,112847667.55835685
2017-06-15,125345478.0569959,0.0,10,112052400.08919972,112385943.0539778
2017-06-16,127611545.37955035,0.0,10,112060940.48765674,112422587.85591266
2017-06-19,131243201.60533412,0.0,10,112491281.67657511,113089523.25112684
2017-06-20,129343621.70912966,0.0,10,112412045.75755705,113346036.86467075
2017-06-21,129936935.49362105,14605334.143853335,9,111856919.85784982,112690094.91003701
2017-06-22,129673360.84310457,14605334.143853335,9,112466134.94778495,113404668.54776652
2017-06-23,130244806.60874437,506862.74867541716,10,112856620.9439038,113694162.48305178
2017-06-26,133823095.89070493,0.0,10,113333934.32433584,114291472.75458975
2017-06-27,135762242.90671855,0.0,10,113490033.8294672,114375755.79903992
2017-06-28,134061215.40389378,0.0,10,113044509.70995857,113906702.33427389
